date,ugx_per_usd
2005-09-01,1848.8461904761903
2005-10-01,1855.36525
2005-11-01,1834.4704761904761
2005-12-01,1816.1345238095237
2006-01-01,1819.1212500000001
2006-02-01,1815.8415789473684
2006-03-01,1820.9432894736574
2006-04-01,1827.481111111111
2006-05-01,1836.3419047619047
2006-06-01,1859.9492857142857
2006-07-01,1857.7164285714284
2006-08-01,1847.7396739130434
2006-09-01,1854.6766666666667
2006-10-01,1843.4265
2006-11-01,1818.8513636363639
2006-12-01,1775.333157894737
2007-01-01,1792.2788095238097
2007-02-01,1751.68275
2007-03-01,1750.6764285714287
2007-04-01,1728.8907894736844
2007-05-01,1695.1527272727274
2007-06-01,1643.5733333333333
2007-07-01,1652.869772727273
2007-08-01,1737.4304347826087
2007-09-01,1762.8302500000002
2007-10-01,1747.1716666666669
2007-11-01,1707.7287499999998
2007-12-01,1711.6133333333335
2008-01-01,1710.585681818182
2008-02-01,1707.829761904762
2008-03-01,1684.2555263157894
2008-04-01,1686.6834090909092
2008-05-01,1647.6807142857142
2008-06-01,1600.7397368421052
2008-07-01,1633.9402173913043
2008-08-01,1623.6190476190477
2008-09-01,1645.01075
2008-10-01,1838.6629545454546
2008-11-01,1910.1299999999999
2008-12-01,1956.18875
2009-01-01,1975.97
2009-02-01,1964.83275
2009-03-01,2051.5452272727275
2009-04-01,2175.61025
2009-05-01,2247.6825
2009-06-01,2137.1794999999997
2009-07-01,2110.766304347826
2009-08-01,2071.6688095238096
2009-09-01,1961.9036363636362
2009-10-01,1898.282619047619
2009-11-01,1873.77825
2009-12-01,1896.6370454545454
2010-01-01,1935.626052631579
2010-02-01,1996.536
2010-03-01,2086.3663636363635
2010-04-01,2083.004
2010-05-01,2174.568333333333
2010-06-01,2257.436
2010-07-01,2257.2863636363636
2010-08-01,2230.940714285714
2010-09-01,2251.303095238095
2010-10-01,2264.820954272555
2010-11-01,2288.8728571428574
2010-12-01,2303.929347826087
2011-01-01,2333.1349999999998
2011-02-01,2341.9272222222226
2011-03-01,2393.3130476190477
2011-04-01,2367.5892105263156
