date,arabica_usd,robusta_usd,arabica_ma3,robusta_ma3,arabica_pct_change,robusta_pct_change,arabica_volatility,robusta_volatility,ugx_per_usd,arabica_ugx,robusta_ugx,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2005-09-01,2.193376438,1.033305394,2.3341046813333333,1.1516934880000005,-8.049907578558225,-9.813353857994988,8.73115741561063,9.631801645977877,1848.8461904761905,4055.215671676536,1910.422741295399,3476.984,22.202423,0.3200039,3681.465,,0,79.3
2005-10-01,2.31595331,1.047855886,2.2982428626666667,1.0756340980000003,5.588501356920284,1.4081502026882742,8.759319965767666,9.06987108212228,1855.36525,4296.939291996478,1944.1553978923616,4324.185,22.268524,0.31033057,3622.0664,1170.857,0,74.0
2005-11-01,2.375257588,1.13427699,2.294862445333333,1.0718127566666669,2.560685387910544,8.247422680412363,8.23755966282693,9.156624404109822,1834.470476190476,4357.339918533402,2080.7976499772,2761.5784,22.94925,0.29214156,5667.6367,1290.3385,0,63.9
2005-12-01,2.331826574,1.243185218,2.3410124906666665,1.1417726980000005,-1.8284759606460144,9.601554907677356,7.078569241642657,8.97484563847213,1816.134523809524,4234.910744577883,2257.791593899469,1044.8682,24.238586,0.21586575,2929.44,3681.465,1,21.8
2006-01-01,2.73813804,1.397508618,2.481740734,1.258323608666667,17.42460054835966,12.413548501507352,8.625544484539983,9.215191508301888,1819.12125,4981.005093997351,2542.237624061933,1359.4429,24.635895,0.20299488,2668.8994,3622.0664,0,14.7
2006-02-01,2.626143344,1.388469676,2.565369319333333,1.343054504,-4.090177133655393,-0.6467897144660117,7.981579927335035,9.094111476969903,1815.8415789473684,4768.660276311082,2521.240968788381,2269.9124,24.847107,0.2252679,3790.1055,5667.6367,0,27.0
2006-03-01,2.505771092,1.31395352,2.623350825333333,1.3666439380000002,-4.583613163196776,-5.366783105747841,7.181532740266464,7.884822515309836,1820.9432894736572,4562.867054934478,2392.6348449242914,3978.6956,23.15744,0.30208325,3476.984,2929.44,0,69.4
2006-04-01,2.544572404,1.33489741,2.5588289466666665,1.3457735353333335,1.5484779165933604,1.593959731543615,7.160432614716104,7.882243997337677,1827.481111111111,4650.158004164591,2439.4998020461444,5047.1377,22.318268,0.33697918,4324.185,2668.8994,0,88.7
2006-05-01,2.410972432,1.324535696,2.4871053093333333,1.3244622086666669,-5.250389880436678,-0.7762180016515186,7.27884917703277,7.406011537080355,1836.3419047619047,4427.3697081073215,2432.3004029177755,5458.0547,21.786957,0.3459151,2761.5784,3790.1055,0,93.6
2006-06-01,2.27406553,1.327842626,2.409870122,1.3290919106666668,-5.678493050475487,0.2496671105193026,7.282366843926506,7.142515433727157,1859.9492857142857,4229.646558190979,2469.7199437696813,2423.708,21.925323,0.30652606,1044.8682,3476.984,0,71.9
2006-07-01,2.314851,1.421759438,2.333296320666667,1.3580459200000004,1.7935046049442516,7.072887265482319,6.841120428957633,7.283195422377775,1857.7164285714284,4300.336732395,2641.225865449081,2943.2573,21.830994,0.30101055,1359.4429,4324.185,0,68.8
2006-08-01,2.463221926,1.622379858,2.350712818666667,1.4573273073333337,6.4095238095238205,14.110714839509985,7.077175945034713,7.218793994454051,1847.7396739130436,4551.392878322699,2997.7356297840097,3513.0793,21.644318,0.32398438,2269.9124,2761.5784,0,81.5
2006-09-01,2.421334146,1.699982482,2.3998023573333334,1.5813739260000002,-1.70052805871298,4.783258594917794,6.602322584374241,5.949542907839099,1854.6766666666667,4490.79194278946,3152.917843107487,3724.372,22.159668,0.30993983,3978.6956,1044.8682,0,73.8
2006-10-01,2.438971106,1.657212854,2.441175726,1.659858398,0.7283984339433669,-2.5158863960575872,6.443496866227976,6.229634264178652,1843.4265,4496.063969534709,3054.950091204231,3710.0662,22.775818,0.30419126,5047.1377,1359.4429,0,70.6
2006-11-01,2.695588874,1.692927698,2.5186313753333334,1.683374344666667,10.5215583476453,2.155115072502345,7.044274042043236,6.104699371661499,1818.851363636364,4902.87549927791,3079.1838520450706,5650.596,21.50122,0.33751622,5458.0547,2269.9124,0,89.0
2006-12-01,2.831613928,1.690282154,2.6553913026666667,1.680140902,5.04620920912735,-0.156270347701537,7.048521515022293,5.871684327124025,1775.333157894737,5027.058096734961,3000.813954193938,3731.7202,21.973053,0.31538838,2423.708,3978.6956,0,76.8
2007-01-01,2.745413286,1.744515806,2.757538696,1.709241886,-3.044222983494238,3.208556149732611,5.159840917932184,5.0351630425484375,1792.2788095238095,4920.54605588293,3126.6587119731494,1930.1514,23.562836,0.24168992,2943.2573,5047.1377,0,36.1
2007-02-01,2.690297786,1.743413496,2.755775,1.7260704853333335,-2.0075483819160023,-0.0631871603690048,5.038151116025523,5.010283885077795,1751.68275,4712.548224099392,3053.907347060394,2387.2795,23.815277,0.26282015,3513.0793,5458.0547,0,47.7
2007-03-01,2.581169096,1.6975574,2.6722933893333334,1.7284955673333335,-4.056379578792102,-2.6302478502782,4.99364836977589,4.6956761829535925,1750.6764285714287,4518.791894524223,2971.873726327,1836.5984,24.275146,0.2506769,3724.372,2423.708,0,41.0
2007-04-01,2.52649452,1.754436596,2.599320467333333,1.7318024973333337,-2.1182097710966907,3.3506493506493484,5.026334119224681,4.700653037127591,1728.8907894736844,4368.033105283737,3033.2292715399635,4078.7686,23.436462,0.2898756,3710.0662,2943.2573,0,62.7
2007-05-01,2.496511688,1.849896642,2.534725101333333,1.7672968793333337,-1.186736474694583,5.441065594370453,4.766686003014157,4.661324316988702,1695.1527272727274,4231.968596581441,3135.8573378589604,3451.8694,22.836243,0.3104434,5650.596,3513.0793,0,74.0
2007-06-01,2.630773046,2.043241816,2.5512597513333333,1.882525018,5.377958318615317,10.451674413061609,4.550228594669702,5.045129791380495,1643.5733333333333,4323.868424457706,3358.217762329173,3732.854,21.454376,0.33048898,3731.7202,3724.372,0,85.1
