date,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2011-07-01,3175.4587,21.868408,0.31045505,1033.9492,4414.4863,0,74.0
2011-08-01,4531.6074,21.338196,0.33868065,1348.0366,3092.91,0,89.6
2011-09-01,4675.3306,21.498901,0.34473184,3438.6787,2663.2979,0,93.0
2011-10-01,5010.3047,21.804993,0.33427483,3880.6255,1033.9492,0,87.2
2011-11-01,5482.354,21.372772,0.3512598,4118.402,1348.0366,0,96.6
2011-12-01,2330.456,22.499756,0.2884117,3590.3933,3438.6787,0,61.9
2012-01-01,316.33307,24.567413,0.19122389,3175.4587,3880.6255,1,8.2
2012-02-01,1598.9126,24.810822,0.19760455,4531.6074,4118.402,0,11.7
2012-03-01,1312.2743,25.127228,0.21357764,4675.3306,3590.3933,0,20.5
2012-04-01,5661.757,22.609528,0.31621015,5010.3047,3175.4587,0,77.2
2012-05-01,4865.8594,21.786041,0.34937456,5482.354,4531.6074,0,95.5
2012-06-01,3576.3208,21.576447,0.33054078,2330.456,4675.3306,0,85.1
2012-07-01,3578.8767,21.226105,0.3294941,316.33307,5010.3047,0,84.6
2012-08-01,4073.7253,21.32373,0.33913118,1598.9126,5482.354,0,89.9
2012-09-01,4604.6,21.656982,0.33934194,1312.2743,2330.456,0,90.0
2012-10-01,5230.338,22.15744,0.3273393,5661.757,316.33307,0,83.4
2012-11-01,4366.7886,21.937195,0.33735287,4865.8594,1598.9126,0,88.9
2012-12-01,2988.6318,22.42035,0.29222298,3576.3208,1312.2743,0,64.0
2013-01-01,1660.952,24.021606,0.24222925,3578.8767,5661.757,0,36.4
2013-02-01,1344.9163,24.602112,0.23625687,4073.7253,4865.8594,0,33.1
2013-03-01,4692.5337,23.708252,0.277713,4604.6,3576.3208,0,56.0
2013-04-01,5740.7666,22.47409,0.34600994,5230.338,3578.8767,0,93.7
2013-05-01,3109.8193,22.349213,0.3150039,4366.7886,4073.7253,0,76.6
2013-06-01,2354.9053,22.218842,0.28051728,2988.6318,4604.6,0,57.5
2013-07-01,2716.7202,21.775085,0.28552675,1660.952,5230.338,0,60.3
2013-08-01,4052.3997,21.393158,0.32932585,1344.9163,4366.7886,0,84.5
2013-09-01,4540.021,21.916473,0.32769775,4692.5337,2988.6318,0,83.6
2013-10-01,4007.7017,22.125122,0.3276852,5740.7666,1660.952,0,83.6
2013-11-01,4014.197,22.036285,0.3260129,3109.8193,1344.9163,0,82.6
2013-12-01,1801.7932,23.052673,0.2563032,2354.9053,4692.5337,0,44.1
2014-01-01,897.60406,24.590729,0.20381552,2716.7202,5740.7666,1,15.1
2014-02-01,1059.7614,25.260925,0.19559881,4052.3997,3109.8193,1,10.6
2014-03-01,3356.0654,24.16626,0.25873166,4540.021,2354.9053,0,45.5
2014-04-01,4124.891,22.964355,0.30916482,4007.7017,2716.7202,0,73.3
2014-05-01,4078.4353,22.644348,0.3156436,4014.197,4052.3997,0,76.9
2014-06-01,2915.847,22.281952,0.31192505,1801.7932,4540.021,0,74.8
2014-07-01,2593.0847,22.077179,0.29283008,897.60406,4007.7017,0,64.3
